FlightID,Month,City,ArrivalAirport
BT7161,10,Dublin,ASV
ET8895,10,Dublin,ASV
EW6525,10,Budapest,AUH
HG5921,9,Budapest,AUH
MF7689,1,Budapest,AUH
NO0858,4,Budapest,AUH
YD3131,10,Budapest,AUH
LJ1970,6,Milan,AZC
HJ3203,4,Glasgow,BCT
LT7760,11,Glasgow,BCT
QI9622,6,Glasgow,BCT
XV9282,10,Glasgow,BCT
AP2790,5,Barcelona,CLW
BM1939,3,Barcelona,CLW
LQ4683,4,Barcelona,CLW
CH3533,9,Salzburg,COW
WX1669,2,Salzburg,COW
BC4319,7,Roliça,CUN
RN4434,7,Roliça,CUN
YR9971,8,Roliça,CUN
CD6143,3,Paris,CWA
PZ5139,1,Paris,CWA
TP6574,5,Paris,CWA
UQ0135,10,Paris,CWA
XV4921,5,Paris,CWA
QC5664,6,Split,CZN
QE1222,8,Split,CZN
UD1826,9,Mykonos,DLQ
YS6726,9,Mykonos,DLQ
XV6478,6,Madrid,EAO
PN2901,1,Krakow,EFP
XT7127,7,Krakow,EFP
MD1706,9,Bruges,EYM
MO4167,3,Bruges,EYM
PK8137,4,Bruges,EYM
CY1156,3,Gothenburg,FXW
DW9876,9,Gothenburg,FXW
LZ3962,8,Gothenburg,FXW
NG9156,8,Gothenburg,FXW
ZR3362,10,Rokietnica,GCD
NB2037,4,Kosice,GDH
HG1740,6,Valencia,GUF
JF2600,3,Valencia,GUF
MK6146,3,Rome,GZC
OS6172,10,Rome,GZC
OU9763,9,Rome,GZC
UJ6064,9,Rome,GZC
NO6914,5,Brussels,IKF
RL4632,6,Brussels,IKF
SS0682,2,Brussels,IKF
TR6826,12,Brussels,IKF
BV7836,6," Edinburgh",ILJ
KM2189,5," Edinburgh",ILJ
EX4794,4,Belgrade,IMQ
HK4761,10,Belgrade,IMQ
ZJ1737,1,Belgrade,IMQ
CJ4257,10,Palermo,JBY
RN8217,5,Palermo,JBY
GM3440,8,"Novi Sad",JCX
ZG5095,3,"Novi Sad",JCX
IG6047,5,Hamburg,JHL
UA0328,11,Hamburg,JHL
WU7826,11,Hamburg,JHL
GM3896,6,Copenhagen,JRN
CA6642,2,Geneva,KKB
DJ4737,7,Geneva,KKB
SU1299,12,Geneva,KKB
TU2303,6,Geneva,KKB
VJ0535,7,Geneva,KKB
MM2277,2,Manchester,KQF
RG8626,2,Manchester,KQF
WA5427,3,Manchester,KQF
HC3111,5,Malmoe,LDN
RC2794,5,Malmoe,LDN
VI9537,12,Malmoe,LDN
WZ8266,1,Malmoe,LDN
SO5996,9,Warsaw,LPH
FS0698,12,Bratislava,LUS
PQ5939,11,Bratislava,LUS
YP3369,8,Bratislava,LUS
IO4551,2,Svitlovods’k,MGN
WD3657,9,Svitlovods’k,MGN
YW9195,1,Svitlovods’k,MGN
MM6106,2,Naples,MJF
MU2271,5,Naples,MJF
VQ0285,6,Naples,MJF
XW2288,8,Naples,MJF
AX8330,4,Luxemburg,MXO
IR5460,8,Luxemburg,MXO
QT3854,1,Luxemburg,MXO
YV2788,11,Luxemburg,MXO
EY9145,8,Zagreb,NAU
HL9656,3,Zagreb,NAU
SW6340,4,Zagreb,NAU
WN4136,8,Zagreb,NAU
CU5439,9,Vienna,NLF
GC9030,7,Vienna,NLF
GG2985,4,Vienna,NLF
BS3633,2,Hägersten,NZQ
GB8307,11,Hägersten,NZQ
NG4862,9,Dnipro,OIJ
AE5666,4,Lipie,OZF
CB8369,12,Lipie,OZF
TJ6552,10,Lipie,OZF
BR8019,7,Valletta,PCI
LH1915,4,Valletta,PCI
NK9226,9,Valletta,PCI
RA0423,10,Valletta,PCI
WP0175,9,Valletta,PCI
CP2465,6,Solna,POA
AJ7626,9,Marseille,QSE
GC2328,1,London,RLF
IH8474,8,London,RLF
JT7561,7,London,RLF
ZZ4445,5,London,RLF
BF6987,2,Prague,RMB
YW1833,7,Prague,RMB
GY4015,9,Tampere,RRB
JD6994,2,Tampere,RRB
JR4101,2,Tampere,RRB
OE2030,11,Tampere,RRB
BG9319,8,Heraklion,RVE
IT2699,6,Heraklion,RVE
RI2037,8,Heraklion,RVE
RS6445,4,Heraklion,RVE
WY2638,9,Heraklion,RVE
CS7385,11,Presov,RXU
RK9555,4,Presov,RXU
UY5370,10,Presov,RXU
AD5725,11,Sintra,SFP
PG3109,2,Sintra,SFP
QL9378,12,Sintra,SFP
VA3134,5,Sintra,SFP
XI4417,5,Sintra,SFP
YY8249,6,Amsterdam,SKM
FO7249,7,Gračec,SNW
OG3212,5,Gračec,SNW
PD9808,5,Gračec,SNW
BD6790,6,Berlin,SRJ
FV6700,5,Berlin,SRJ
KT0230,3,Berlin,SRJ
QA4892,3,Berlin,SRJ
AE8500,3,Oporto,SRT
DT1945,8,Oporto,SRT
ZJ0366,4,Oporto,SRT
AA2888,10,Bern,STB
CK9276,11,Bern,STB
GE6412,9,Odense,TLL
ZA0795,8,Odense,TLL
GB0452,9,Helsinki,TMN
UO4983,11,Helsinki,TMN
QB1531,4,Venice,TXY
RH9944,6,Venice,TXY
FQ4875,12,Solna,UIP
QF1106,6,Solna,UIP
RB6881,1,Solna,UIP
ST8692,1,Turin,UKR
NX3147,2,Ljubljana,UNI
SK0722,1,Ljubljana,UNI
SG6000,7,Seville,VCG
XA8033,1,Seville,VCG
DN0470,6,Belfast,VDR
EL1138,6,Belfast,VDR
HR8071,7,Belfast,VDR
QM5309,1,Belfast,VDR
WT3640,12,Nantes,VKE
DK1886,12,Stockholm,WDX
ZT5379,2,Stockholm,WDX
AA5090,3,Liverpool,WTZ
EJ4086,7,Liverpool,WTZ
HL5529,2,Liverpool,WTZ
MN4521,6,Liverpool,WTZ
UH4296,8,Liverpool,WTZ
VM1923,10,Liverpool,WTZ
ZM9173,3,Liverpool,WTZ
CX5219,5,Ystad,WWI
KY7238,12,Isojoki,XCF
NH8730,5,Isojoki,XCF
PJ7381,10,Isojoki,XCF
YG0387,7,Isojoki,XCF
TE5789,8,Reyjavík,XJG
UB3342,10,Reyjavík,XJG
UC8734,3,Montpellier,XOL
IK0085,11,Zwierzyń,XQG
NA2760,1,Oslo,XYN
RT3457,10,Oslo,XYN
UI7356,11,Oslo,XYN
XG5862,8,Oslo,XYN
YZ8053,12,Oslo,XYN
QP8305,7,Sammatti,YCS
YF6215,12,Sammatti,YCS
YW4459,9,Sammatti,YCS
ZZ0469,11,Sammatti,YCS
CR4303,11,Athens,YGN
HD2051,4,Athens,YGN
HQ1866,4,Athens,YGN
XB1965,3,Athens,YGN
OA8212,1,Mariupol,YHR
RX4279,7,Mariupol,YHR
BS9678,12,Bucarest,YTW
PO7461,7,Bucarest,YTW
NV8745,2,Lisbona,ZJI
WJ9528,5,Lisbona,ZJI
PP0532,4,Zhashkiv,ZKV
YP7302,12,Lille,ZRW
